2013-04-07 00:01:00,0.0
2013-04-07 00:02:00,0.0
2013-04-07 00:03:00,0.0
2013-04-07 00:04:00,0.0
2013-04-07 00:05:00,0.0
2013-04-07 00:06:00,0.0
2013-04-07 00:07:00,0.0
2013-04-07 00:08:00,0.0
2013-04-07 00:09:00,0.0
2013-04-07 00:10:00,0.0
2013-04-07 00:11:00,0.0
2013-04-07 00:12:00,0.0
2013-04-07 00:13:00,0.0
2013-04-07 00:14:00,0.0
2013-04-07 00:15:00,0.0
2013-04-07 00:16:00,0.0
2013-04-07 00:17:00,0.0
2013-04-07 00:18:00,0.0
2013-04-07 00:19:00,0.0
2013-04-07 00:20:00,0.0
2013-04-07 00:21:00,0.0
2013-04-07 00:22:00,0.0
2013-04-07 00:23:00,0.0
2013-04-07 00:24:00,0.0
2013-04-07 00:25:00,0.0
2013-04-07 00:26:00,0.0
2013-04-07 00:27:00,0.0
2013-04-07 00:28:00,0.0
2013-04-07 00:29:00,0.0
2013-04-07 00:30:00,0.0
2013-04-07 00:31:00,0.0
2013-04-07 00:32:00,0.0
2013-04-07 00:33:00,0.0
2013-04-07 00:34:00,0.0
2013-04-07 00:35:00,0.0
2013-04-07 00:36:00,0.0
2013-04-07 00:37:00,0.0
2013-04-07 00:38:00,0.0
2013-04-07 00:39:00,0.0
2013-04-07 00:40:00,0.0
2013-04-07 00:41:00,0.0
2013-04-07 00:42:00,0.0
2013-04-07 00:43:00,0.0
2013-04-07 00:44:00,0.0
2013-04-07 00:45:00,0.0
2013-04-07 00:46:00,0.0
2013-04-07 00:47:00,0.0
2013-04-07 00:48:00,0.0
2013-04-07 00:49:00,0.0
2013-04-07 00:50:00,0.0
2013-04-07 00:51:00,0.0
2013-04-07 00:52:00,0.0
2013-04-07 00:53:00,0.0
2013-04-07 00:54:00,0.0
2013-04-07 00:55:00,0.0
2013-04-07 00:56:00,0.0
2013-04-07 00:57:00,0.0
2013-04-07 00:58:00,0.0
2013-04-07 00:59:00,0.0
2013-04-07 01:00:00,0.0
2013-04-07 01:01:00,0.0
2013-04-07 01:02:00,0.0
2013-04-07 01:03:00,0.0
2013-04-07 01:04:00,0.0
2013-04-07 01:05:00,0.0
2013-04-07 01:06:00,0.0
2013-04-07 01:07:00,0.0
2013-04-07 01:08:00,0.0
2013-04-07 01:09:00,0.0
2013-04-07 01:10:00,0.0
2013-04-07 01:11:00,0.0
2013-04-07 01:12:00,0.0
2013-04-07 01:13:00,0.0
2013-04-07 01:14:00,0.0
2013-04-07 01:15:00,0.0
2013-04-07 01:16:00,0.0
2013-04-07 01:17:00,0.0
2013-04-07 01:18:00,0.0
2013-04-07 01:19:00,0.0
2013-04-07 01:20:00,0.0
2013-04-07 01:21:00,0.0
2013-04-07 01:22:00,0.0
2013-04-07 01:23:00,0.0
2013-04-07 01:24:00,0.0
2013-04-07 01:25:00,0.0
2013-04-07 01:26:00,0.0
2013-04-07 01:27:00,0.0
2013-04-07 01:28:00,0.0
2013-04-07 01:29:00,0.0
2013-04-07 01:30:00,0.0
2013-04-07 01:31:00,0.0
2013-04-07 01:32:00,0.0
2013-04-07 01:33:00,0.0
2013-04-07 01:34:00,0.0
2013-04-07 01:35:00,0.0
2013-04-07 01:36:00,0.0
2013-04-07 01:37:00,0.0
2013-04-07 01:38:00,0.0
2013-04-07 01:39:00,0.0
2013-04-07 01:40:00,0.0
2013-04-07 01:41:00,0.0
2013-04-07 01:42:00,0.0
2013-04-07 01:43:00,0.0
2013-04-07 01:44:00,0.0
2013-04-07 01:45:00,0.0
2013-04-07 01:46:00,0.0
2013-04-07 01:47:00,0.0
2013-04-07 01:48:00,0.0
2013-04-07 01:49:00,0.0
2013-04-07 01:50:00,0.0
2013-04-07 01:51:00,0.0
2013-04-07 01:52:00,0.0
2013-04-07 01:53:00,0.0
2013-04-07 01:54:00,0.0
2013-04-07 01:55:00,0.0
2013-04-07 01:56:00,0.0
2013-04-07 01:57:00,0.0
2013-04-07 01:58:00,0.0
2013-04-07 01:59:00,0.0
2013-04-07 02:00:00,0.0
2013-04-07 02:01:00,0.0
